PlaceFIPS,TractFIPS,Place_TractID,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev
3651000,36047005601,3651000-36047005601,7.8,35.1,18.9
3651000,36047005602,3651000-36047005602,7.7,34.3,19.3
3651000,36047005800,3651000-36047005800,7.8,33.6,20.1
3651000,36047005900,3651000-36047005900,6.6,27.4,21.9
3651000,36047006000,3651000-36047006000,7.2,31.8,19.0
3651000,36047006200,3651000-36047006200,7.4,32.9,19.0
3651000,36047006300,3651000-36047006300,4.8,27.0,17.1
3651000,36047006400,3651000-36047006400,7.7,34.0,19.2
3651000,36047006500,3651000-36047006500,4.8,27.6,17.0
3651000,36047006600,3651000-36047006600,7.7,33.0,20.0
3651000,36047006700,3651000-36047006700,4.5,27.4,15.8
3651000,36047006800,3651000-36047006800,10.3,36.0,22.4
3651000,36047006900,3651000-36047006900,4.4,25.2,16.0
3651000,36047007000,3651000-36047007000,10.9,38.4,20.7
3651000,36047007100,3651000-36047007100,13.5,36.2,27.8
3651000,36047007200,3651000-36047007200,13.0,37.3,24.9
3651000,36047007400,3651000-36047007400,12.6,36.4,24.1
3651000,36047007500,3651000-36047007500,4.7,27.2,16.2
3651000,36047007600,3651000-36047007600,13.6,37.4,26.6
3651000,36047007700,3651000-36047007700,5.6,28.9,17.1
3651000,36047007800,3651000-36047007800,12.6,35.8,26.7
3651000,36047008000,3651000-36047008000,11.3,34.5,24.1
3651000,36047008200,3651000-36047008200,12.6,36.0,26.2
3651000,36047008400,3651000-36047008400,11.1,34.1,25.8
3651000,36047008500,3651000-36047008500,18.2,39.9,33.8
3651000,36047008800,3651000-36047008800,9.3,32.7,22.6
3651000,36047009000,3651000-36047009000,12.1,36.5,21.9
3651000,36047009200,3651000-36047009200,12.6,37.1,22.1
3651000,36047009400,3651000-36047009400,12.0,37.8,18.1
3651000,36047009600,3651000-36047009600,12.7,36.5,25.1
3651000,36047009800,3651000-36047009800,14.3,38.6,24.3
3651000,36047010000,3651000-36047010000,15.3,41.1,21.7
3651000,36047010100,3651000-36047010100,9.2,32.0,23.9
3651000,36047010200,3651000-36047010200,12.7,38.5,18.6
3651000,36047010400,3651000-36047010400,13.3,40.0,14.8
3651000,36047010600,3651000-36047010600,14.1,40.7,15.6
3651000,36047010800,3651000-36047010800,12.6,38.6,16.5
3651000,36047011000,3651000-36047011000,11.5,35.7,22.2
3651000,36047011200,3651000-36047011200,12.8,38.7,23.3
3651000,36047011400,3651000-36047011400,13.4,40.3,22.4
3651000,36047011600,3651000-36047011600,14.3,41.3,16.4
3651000,36047011700,3651000-36047011700,6.7,28.1,19.9
3651000,36047011800,3651000-36047011800,13.4,39.6,16.5
3651000,36047011900,3651000-36047011900,5.3,25.9,18.9
3651000,36047012000,3651000-36047012000,14.0,40.8,15.5
3651000,36047012100,3651000-36047012100,5.5,25.8,18.2
3651000,36047012200,3651000-36047012200,14.1,39.4,23.2
3651000,36047012600,3651000-36047012600,10.7,36.6,19.8
3651000,36047012700,3651000-36047012700,10.8,32.4,24.9
